Date,Open,High,Low,Close,Adj Close,Volume
2011-08-26,6.010000,6.140000,6.010000,6.140000,6.140000,9
2011-08-27,6.140000,6.400000,6.200000,6.400000,6.400000,3
2011-08-28,6.400000,6.400000,6.400000,6.400000,6.400000,0
2011-08-29,6.400000,6.400000,6.400000,6.400000,6.400000,0
2011-08-30,6.400000,6.400000,6.400000,6.400000,6.400000,0
2011-08-31,6.400000,6.400000,6.400000,6.400000,6.400000,0
2011-09-01,6.400000,5.790000,5.700000,5.780000,5.780000,97
2011-09-02,5.780000,5.840000,5.830000,5.830000,5.830000,12
2011-09-03,5.830000,5.830000,5.830000,5.830000,5.830000,0
2011-09-04,5.830000,5.200000,5.030000,5.030000,5.030000,505
2011-09-05,5.030000,4.900000,4.540000,4.540000,4.540000,622
2011-09-06,4.540000,5.250000,4.630000,4.950000,4.950000,575
2011-09-07,4.950000,5.080000,4.770000,4.770000,4.770000,1318
2011-09-08,4.770000,4.750000,3.100000,3.500000,3.500000,4784
2011-09-09,3.500000,3.760000,3.490000,3.490000,3.490000,203
2011-09-10,3.490000,5.010000,3.300000,3.660000,3.660000,2073
2011-09-11,3.660000,4.760000,4.080000,4.380000,4.380000,1577
2011-09-12,4.380000,4.530000,4.250000,4.340000,4.340000,1920
2011-09-13,4.340000,4.360000,4.000000,4.100000,4.100000,4058
2011-09-14,4.100000,4.050000,3.320000,3.500000,3.500000,10920
2011-09-15,3.500000,3.630000,3.440000,3.500000,3.500000,1649
2011-09-16,3.500000,3.650000,3.500000,3.570000,3.570000,920
2011-09-17,3.570000,4.050000,3.460000,3.750000,3.750000,4154
2011-09-18,3.750000,4.150000,3.710000,4.000000,4.000000,7633
2011-09-19,4.000000,5.070000,4.100000,4.470000,4.470000,36051
2011-09-20,4.470000,4.570000,3.800000,4.070000,4.070000,6305
2011-09-21,4.070000,4.220000,3.970000,4.080000,4.080000,3108
2011-09-22,4.080000,4.230000,4.000000,4.230000,4.230000,1345
2011-09-23,4.230000,4.210000,4.070000,4.100000,4.100000,342
2011-09-24,4.100000,4.120000,4.000000,4.000000,4.000000,792
2011-09-25,4.000000,4.090000,3.540000,3.700000,3.700000,4375
2011-09-26,3.700000,3.850000,3.650000,3.680000,3.680000,3948
2011-09-27,3.680000,3.720000,3.450000,3.590000,3.590000,9205
2011-09-28,3.590000,3.590000,3.500000,3.550000,3.550000,1706
2011-09-29,3.550000,3.970000,3.500000,3.850000,3.850000,3424
2011-09-30,3.850000,3.880000,3.650000,3.810000,3.810000,1880
2011-10-01,3.810000,3.810000,3.720000,3.780000,3.780000,589
2011-10-02,3.780000,3.780000,3.700000,3.700000,3.700000,1690
2011-10-03,3.700000,3.820000,3.750000,3.750000,3.750000,1357
2011-10-04,3.750000,3.820000,3.650000,3.680000,3.680000,3349
2011-10-05,3.680000,3.740000,3.450000,3.550000,3.550000,6642
2011-10-06,3.550000,3.590000,2.900000,3.290000,3.290000,7135
2011-10-07,3.290000,3.280000,2.870000,2.890000,2.890000,2007
2011-10-08,2.890000,3.180000,2.980000,2.980000,2.980000,901
2011-10-09,2.980000,3.200000,3.000000,3.090000,3.090000,1376
2011-10-10,3.090000,3.090000,2.880000,2.930000,2.930000,4519
2011-10-11,2.930000,3.190000,2.910000,3.060000,3.060000,4023
2011-10-12,3.060000,3.100000,2.960000,2.960000,2.960000,4647
2011-10-13,2.960000,3.060000,2.950000,2.970000,2.970000,4751
2011-10-14,2.970000,2.970000,2.700000,2.760000,2.760000,2963
2011-10-15,2.760000,2.800000,2.510000,2.590000,2.590000,1080
2011-10-16,2.590000,2.780000,1.690000,1.920000,1.920000,36122
2011-10-17,1.920000,2.140000,1.720000,1.750000,1.750000,5580
2011-10-18,1.750000,1.810000,1.500000,1.620000,1.620000,6175
2011-10-19,1.620000,1.770000,1.600000,1.740000,1.740000,11524
2011-10-20,1.740000,1.930000,1.750000,1.810000,1.810000,3098
2011-10-21,1.810000,2.430000,1.850000,2.260000,2.260000,8633
2011-10-22,2.260000,2.380000,2.150000,2.270000,2.270000,6638
2011-10-23,2.270000,2.350000,1.820000,1.870000,1.870000,7492
2011-10-24,1.870000,2.140000,1.800000,2.000000,2.000000,4898
2011-10-25,2.000000,2.080000,1.930000,1.980000,1.980000,3317
2011-10-26,1.980000,2.160000,1.960000,2.160000,2.160000,2732
2011-10-27,2.160000,2.330000,2.080000,2.330000,2.330000,3571
2011-10-28,2.330000,2.680000,2.200000,2.570000,2.570000,5649
2011-10-29,2.570000,2.600000,2.210000,2.300000,2.300000,864
2011-10-31,2.300000,2.330000,2.200000,2.300000,2.300000,1261
2011-11-01,2.300000,2.420000,2.230000,2.320000,2.320000,2240
2011-11-02,2.320000,2.440000,2.300000,2.420000,2.420000,1224
2011-11-03,2.420000,2.420000,2.300000,2.310000,2.310000,4025
2011-11-04,2.310000,2.380000,2.210000,2.270000,2.270000,1927
2011-11-05,2.270000,2.320000,2.060000,2.180000,2.180000,560
2011-11-06,2.180000,2.220000,2.100000,2.170000,2.170000,643
2011-11-07,2.170000,2.240000,2.170000,2.210000,2.210000,705
2011-11-08,2.210000,2.340000,2.170000,2.230000,2.230000,1673
2011-11-09,2.230000,2.310000,2.150000,2.150000,2.150000,1806
2011-11-10,2.150000,2.180000,2.100000,2.120000,2.120000,1125
2011-11-11,2.120000,2.220000,2.120000,2.220000,2.220000,1944
2011-11-12,2.220000,2.270000,2.170000,2.170000,2.170000,839
2011-11-13,2.170000,2.210000,2.130000,2.170000,2.170000,445
2011-11-14,2.170000,2.190000,1.580000,1.580000,1.580000,5605
2011-11-15,1.580000,1.780000,1.590000,1.720000,1.720000,1134
2011-11-16,1.720000,1.920000,1.720000,1.920000,1.920000,1410
2011-11-17,1.920000,1.920000,1.520000,1.690000,1.690000,3435
2011-11-18,1.690000,1.720000,1.520000,1.520000,1.520000,3744
2011-11-19,1.520000,1.650000,1.510000,1.620000,1.620000,166
2011-11-20,1.620000,1.790000,1.620000,1.640000,1.640000,792
2011-11-21,1.640000,1.730000,1.610000,1.730000,1.730000,2177
2011-11-22,1.730000,1.770000,1.710000,1.750000,1.750000,862
2011-11-23,1.750000,1.760000,1.690000,1.700000,1.700000,1305
2011-11-24,1.700000,1.910000,1.720000,1.850000,1.850000,845
2011-11-25,1.850000,1.890000,1.750000,1.830000,1.830000,7735
2011-11-26,1.830000,1.900000,1.850000,1.850000,1.850000,532
2011-11-27,1.850000,1.900000,1.850000,1.850000,1.850000,359
2011-11-28,1.850000,1.950000,1.860000,1.920000,1.920000,1300
2011-11-29,1.920000,2.250000,1.940000,2.130000,2.130000,2935
2011-11-30,2.130000,2.300000,2.100000,2.210000,2.210000,7939
2011-12-01,2.210000,2.360000,2.190000,2.280000,2.280000,1641
2011-12-02,2.280000,2.360000,2.280000,2.300000,2.300000,2940
2011-12-03,2.300000,2.300000,2.060000,2.060000,2.060000,6594
2011-12-04,2.060000,2.150000,1.980000,2.120000,2.120000,1044
2011-12-05,2.120000,2.200000,2.120000,2.140000,2.140000,2182
2011-12-06,2.140000,2.300000,2.190000,2.230000,2.230000,1550
2011-12-07,2.230000,2.310000,2.190000,2.190000,2.190000,886
2011-12-08,2.190000,2.290000,2.200000,2.260000,2.260000,3870
2011-12-09,2.260000,2.300000,2.230000,2.230000,2.230000,1267
2011-12-10,2.230000,2.340000,2.220000,2.340000,2.340000,1035
2011-12-11,2.340000,2.500000,2.290000,2.480000,2.480000,1084
2011-12-12,2.480000,2.490000,2.310000,2.340000,2.340000,1043
2011-12-13,2.340000,2.490000,2.360000,2.420000,2.420000,338
2011-12-14,2.420000,2.490000,2.320000,2.410000,2.410000,4404
2011-12-15,2.410000,2.500000,2.400000,2.460000,2.460000,1952
2011-12-16,2.460000,2.520000,2.450000,2.450000,2.450000,2249
2011-12-17,2.450000,2.510000,2.400000,2.430000,2.430000,944
2011-12-18,2.430000,2.460000,2.410000,2.460000,2.460000,147
2011-12-19,2.460000,2.790000,2.460000,2.700000,2.700000,5837
2011-12-20,2.700000,3.360000,2.700000,3.120000,3.120000,6033
2011-12-21,3.120000,3.120000,2.960000,3.020000,3.020000,4872
2011-12-22,3.020000,3.120000,2.760000,3.000000,3.000000,2465
2011-12-23,3.000000,3.090000,2.930000,3.070000,3.070000,8783
2011-12-24,3.070000,3.070000,3.020000,3.020000,3.020000,453
2011-12-25,3.020000,3.340000,2.960000,3.280000,3.280000,3260
2011-12-26,3.280000,3.330000,3.000000,3.120000,3.120000,2070
2011-12-27,3.120000,3.190000,3.030000,3.110000,3.110000,9101
2011-12-28,3.110000,3.280000,3.100000,3.280000,3.280000,3032
2011-12-29,3.280000,3.300000,3.210000,3.210000,3.210000,589
2011-12-30,3.210000,3.380000,3.210000,3.380000,3.380000,10277
2011-12-31,3.380000,3.820000,3.300000,3.550000,3.550000,3262
2012-01-01,3.550000,4.210000,3.550000,4.110000,4.110000,5343
2012-01-02,4.110000,4.300000,3.800000,4.020000,4.020000,5193
2012-01-03,4.020000,4.150000,3.620000,3.700000,3.700000,7032
2012-01-04,3.700000,4.410000,3.700000,4.230000,4.230000,9072
2012-01-05,4.230000,5.470000,4.220000,5.470000,5.470000,14582
2012-01-06,5.470000,5.710000,4.900000,5.200000,5.200000,18117
2012-01-07,5.200000,5.360000,4.940000,5.250000,5.250000,2535
2012-01-08,5.250000,5.500000,5.280000,5.430000,5.430000,1883
2012-01-09,5.430000,5.600000,4.660000,4.900000,4.900000,7380
2012-01-10,4.900000,5.280000,4.830000,5.200000,5.200000,12459
2012-01-11,5.200000,5.530000,5.090000,5.500000,5.500000,12300
2012-01-12,5.500000,5.590000,5.100000,5.280000,5.280000,10690
2012-01-13,5.280000,5.360000,5.100000,5.150000,5.150000,5647
2012-01-14,5.150000,5.450000,5.000000,5.310000,5.310000,21249
2012-01-15,5.310000,5.560000,5.300000,5.430000,5.430000,7272
2012-01-16,5.430000,5.600000,5.130000,5.160000,5.160000,10944
2012-01-17,5.160000,5.500000,3.720000,4.450000,4.450000,23233
2012-01-18,4.450000,5.320000,4.100000,4.510000,4.510000,9023
2012-01-19,4.510000,4.980000,4.500000,4.950000,4.950000,16659
2012-01-20,4.950000,5.200000,4.880000,5.050000,5.050000,10056
2012-01-21,5.050000,5.080000,4.760000,4.800000,4.800000,8710
2012-01-22,4.800000,5.010000,4.800000,5.000000,5.000000,5806
2012-01-23,5.000000,5.040000,4.760000,4.930000,4.930000,3861
2012-01-24,4.930000,4.970000,4.800000,4.950000,4.950000,3138
2012-01-25,4.950000,4.930000,4.300000,4.540000,4.540000,21052
2012-01-26,4.540000,4.590000,4.190000,4.240000,4.240000,6383
2012-01-27,4.240000,4.220000,3.940000,4.060000,4.060000,10238
2012-01-28,4.060000,4.440000,3.910000,4.400000,4.400000,6980
2012-01-29,4.400000,4.310000,4.080000,4.140000,4.140000,4921
2012-01-30,4.140000,4.300000,4.110000,4.290000,4.290000,2337
2012-01-31,4.290000,4.340000,4.210000,4.250000,4.250000,2033
2012-02-01,4.250000,4.700000,4.150000,4.700000,4.700000,5626
2012-02-02,4.700000,4.780000,4.500000,4.670000,4.670000,8465
2012-02-03,4.670000,4.670000,4.480000,4.650000,4.650000,2561
2012-02-04,4.650000,4.620000,4.500000,4.530000,4.530000,873
2012-02-05,4.530000,4.530000,4.200000,4.380000,4.380000,3536
2012-02-06,4.380000,4.420000,4.140000,4.140000,4.140000,7708
2012-02-07,4.140000,4.400000,4.230000,4.390000,4.390000,5512
2012-02-08,4.390000,4.450000,4.140000,4.280000,4.280000,8867
2012-02-09,4.280000,4.400000,4.270000,4.400000,4.400000,2360
2012-02-10,4.400000,4.590000,4.360000,4.560000,4.560000,5829
2012-02-11,4.560000,4.610000,4.300000,4.350000,4.350000,7549
