Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,0.674700,3.000000,0.674700,3.000000,3.000000,371
2015-08-07,3.000000,3.000000,0.150000,1.200000,1.200000,1438
2015-08-08,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-09,1.200000,1.200000,1.200000,1.200000,1.200000,0
2015-08-10,1.200000,1.200000,0.650400,0.990000,0.990000,7419
2015-08-11,0.990000,1.290000,0.905000,1.290000,1.290000,2376
2015-08-12,1.290000,1.880000,1.260000,1.880000,1.880000,4923
2015-08-13,1.880000,2.100000,1.790000,1.790000,1.790000,11070
2015-08-14,1.790000,1.790000,1.500000,1.790000,1.790000,14812
2015-08-15,1.790000,1.790000,0.500000,1.370000,1.370000,10794
2015-08-16,1.370000,1.590000,1.250000,1.300000,1.300000,6063
2015-08-17,1.300000,1.360000,1.150000,1.360000,1.360000,2867
2015-08-18,1.360000,1.360000,0.990000,1.240000,1.240000,4769
2015-08-19,1.240000,1.520000,1.240000,1.520000,1.520000,1771
2015-08-20,1.520000,1.530000,1.440000,1.440000,1.440000,9197
2015-08-21,1.440000,1.440000,1.400000,1.400000,1.400000,321
2015-08-22,1.400000,1.400000,1.310000,1.350000,1.350000,438
2015-08-23,1.350000,1.350000,1.240000,1.240000,1.240000,6460
2015-08-24,1.240000,1.280000,1.220000,1.270000,1.270000,1188
2015-08-25,1.270000,1.270000,1.080000,1.180000,1.180000,2337
2015-08-26,1.180000,1.190000,1.140000,1.140000,1.140000,269
2015-08-27,1.140000,1.300000,1.140000,1.300000,1.300000,26922
2015-08-28,1.300000,1.300000,1.150000,1.180000,1.180000,383
2015-08-29,1.180000,1.350000,1.170000,1.320000,1.320000,10975
2015-08-30,1.320000,1.320000,0.900000,1.310000,1.310000,3959
2015-08-31,1.310000,1.380000,1.310000,1.360000,1.360000,1220
2015-09-01,1.360000,1.370000,1.140000,1.140000,1.140000,698
2015-09-02,1.140000,1.330000,1.140000,1.230000,1.230000,3717
2015-09-03,1.280000,1.400000,1.280000,1.350000,1.350000,18
2015-09-04,1.230000,1.370000,1.230000,1.370000,1.370000,10437
2015-09-05,1.370000,1.390000,1.340000,1.340000,1.340000,145
2015-09-06,1.340000,1.340000,1.280000,1.280000,1.280000,526
2015-09-07,1.280000,1.280000,1.260000,1.260000,1.260000,103
2015-09-08,1.260000,1.260000,1.210000,1.210000,1.210000,27
2015-09-09,1.210000,1.210000,1.120000,1.190000,1.190000,3361
2015-09-10,1.190000,1.190000,0.924200,0.924200,0.924200,3066
2015-09-11,0.924200,1.150000,0.924200,1.150000,1.150000,513
2015-09-12,1.150000,1.150000,0.883700,0.885600,0.885600,3817
2015-09-13,0.885600,0.962200,0.885000,0.955000,0.955000,805
2015-09-14,0.955000,1.000000,0.804000,0.950000,0.950000,2273
2015-09-15,0.950000,0.956300,0.936300,0.936300,0.936300,47
2015-09-16,0.936300,0.936300,0.823800,0.875000,0.875000,129
2015-09-17,0.875000,0.880000,0.852300,0.852300,0.852300,593
2015-09-18,0.852300,0.890000,0.801300,0.890000,0.890000,3
2015-09-19,0.890000,0.890000,0.880000,0.887100,0.887100,12
2015-09-20,0.887100,0.950000,0.887100,0.941200,0.941200,171
2015-09-21,0.941200,0.941200,0.805900,0.805900,0.805900,175
2015-09-22,0.805900,0.910000,0.805900,0.910000,0.910000,13
2015-09-23,0.910000,0.910000,0.800000,0.800000,0.800000,568
2015-09-24,0.800000,0.800000,0.682300,0.682300,0.682300,2184
2015-09-25,0.682300,0.770300,0.680500,0.770300,0.770300,58
2015-09-26,0.770300,0.770300,0.700700,0.700800,0.700800,10
2015-09-27,0.700800,0.704700,0.600000,0.600000,0.600000,3491
2015-09-28,0.600000,0.681600,0.500000,0.681600,0.681600,11590
2015-09-29,0.681600,0.740000,0.504600,0.713700,0.713700,529
2015-09-30,0.713700,0.713700,0.654500,0.654800,0.654800,457
2015-10-01,0.654800,0.666000,0.654800,0.664700,0.664700,266
2015-10-02,0.664700,0.679600,0.664700,0.679600,0.679600,34
2015-10-03,0.679600,0.674700,0.609500,0.609500,0.609500,533
2015-10-04,0.609500,0.609500,0.607800,0.607800,0.607800,35
2015-10-05,0.607800,0.651100,0.609100,0.651100,0.651100,15
2015-10-06,0.651100,0.611000,0.600000,0.600000,0.600000,1236
2015-10-07,0.600000,0.640000,0.600000,0.620000,0.620000,3673
2015-10-08,0.620000,0.635200,0.570100,0.635200,0.635200,1298
2015-10-09,0.750000,0.750000,0.635100,0.635100,0.635100,0
