Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10,225.0,200.0,220.0,220.0,250.0
2000-01-02,9,225.0,200.0,220.0,220.0,250.0
2000-01-03,8,225.0,200.0,220.0,220.0,250.0
2000-01-04,7,225.0,200.0,220.0,220.0,250.0
2000-01-05,6,225.0,200.0,220.0,220.0,250.0
2000-01-06,5,225.0,200.0,220.0,220.0,250.0
2000-01-07,4,225.0,200.0,220.0,220.0,250.0
2000-01-08,3,225.0,200.0,220.0,220.0,250.0
2000-01-09,2,225.0,200.0,220.0,220.0,250.0
2000-01-10,1,225.0,200.0,220.0,220.0,250.0
2000-01-11,0,225.0,200.0,220.0,220.0,250.0
2000-01-12,-1,225.0,200.0,220.0,220.0,250.0
2000-01-13,-2,225.0,200.0,220.0,220.0,250.0
2000-01-14,-3,225.0,200.0,220.0,220.0,250.0
2000-01-15,-4,225.0,200.0,220.0,220.0,250.0
2000-01-16,-5,225.0,200.0,220.0,220.0,250.0
2000-01-17,-6,225.0,200.0,220.0,220.0,250.0
2000-01-18,-7,225.0,200.0,220.0,220.0,250.0
2000-01-19,-8,225.0,200.0,220.0,220.0,250.0
2000-01-20,-9,225.0,200.0,220.0,220.0,250.0
2000-01-21,-10,225.0,200.0,220.0,220.0,250.0
2000-01-22,-9,225.0,200.0,220.0,220.0,250.0
2000-01-23,-8,225.0,200.0,220.0,220.0,250.0
2000-01-24,-7,225.0,200.0,220.0,220.0,250.0
2000-01-25,-6,225.0,200.0,220.0,220.0,250.0
2000-01-26,-5,225.0,200.0,220.0,220.0,250.0
2000-01-27,-4,225.0,200.0,220.0,220.0,250.0
2000-01-28,-3,225.0,200.0,220.0,220.0,250.0
2000-01-29,-2,225.0,200.0,220.0,220.0,250.0
2000-01-30,-1,225.0,200.0,220.0,220.0,250.0
2000-01-31,0,225.0,200.0,220.0,220.0,250.0
2000-02-01,1,225.0,200.0,220.0,220.0,250.0
2000-02-02,2,225.0,200.0,220.0,220.0,250.0
2000-02-03,3,225.0,200.0,220.0,220.0,250.0
2000-02-04,4,225.0,200.0,220.0,220.0,250.0
2000-02-05,5,225.0,200.0,220.0,220.0,250.0
2000-02-06,6,225.0,200.0,220.0,220.0,250.0
2000-02-07,7,225.0,200.0,220.0,220.0,250.0
2000-02-08,8,225.0,200.0,220.0,220.0,250.0
2000-02-09,9,225.0,200.0,220.0,220.0,250.0
2000-02-10,10,225.0,200.0,220.0,220.0,250.0
2000-02-11,9,225.0,200.0,220.0,220.0,250.0
2000-02-12,8,225.0,200.0,220.0,220.0,250.0
2000-02-13,7,225.0,200.0,220.0,220.0,250.0
2000-02-14,6,225.0,200.0,220.0,220.0,250.0
2000-02-15,5,225.0,200.0,220.0,220.0,250.0
2000-02-16,4,225.0,200.0,220.0,220.0,250.0
2000-02-17,3,225.0,200.0,220.0,220.0,250.0
