
episode: 1/600, returns: 1.1550187639375622, epsilon: 0.7
episode: 2/600, returns: 40.60307397041445, epsilon: 0.7
episode: 3/600, returns: 30.932684923951093, epsilon: 0.69
episode: 4/600, returns: 37.24283855104186, epsilon: 0.69
episode: 5/600, returns: 42.513152538588905, epsilon: 0.69
episode: 6/600, returns: 18.945327860906673, epsilon: 0.68
episode: 7/600, returns: 39.12269931467811, epsilon: 0.68
episode: 8/600, returns: 13.076278246103493, epsilon: 0.68
episode: 9/600, returns: 23.1453239509085, epsilon: 0.67
episode: 10/600, returns: 32.981665941736445, epsilon: 0.67
episode: 11/600, returns: 30.175347660341938, epsilon: 0.67
episode: 12/600, returns: 20.9028763917426, epsilon: 0.66
episode: 13/600, returns: 11.422467344834876, epsilon: 0.66
episode: 14/600, returns: 43.49768591580644, epsilon: 0.66
episode: 15/600, returns: 33.19821630365709, epsilon: 0.65
episode: 16/600, returns: 36.79079761326434, epsilon: 0.65
episode: 17/600, returns: 43.05958406775001, epsilon: 0.65
episode: 18/600, returns: 20.703787080139612, epsilon: 0.64
episode: 19/600, returns: 18.53320629996026, epsilon: 0.64
episode: 20/600, returns: 22.411020792140132, epsilon: 0.64
episode: 21/600, returns: 15.642907244849948, epsilon: 0.63
episode: 22/600, returns: 5.538336549786277, epsilon: 0.63
episode: 23/600, returns: 8.328033436214012, epsilon: 0.63
episode: 24/600, returns: 14.812837043740162, epsilon: 0.62
episode: 25/600, returns: -3.222923524928001, epsilon: 0.62
episode: 26/600, returns: 13.711399221206808, epsilon: 0.62
episode: 27/600, returns: 34.016974547038764, epsilon: 0.61
episode: 28/600, returns: 19.549140743462477, epsilon: 0.61
episode: 29/600, returns: 11.338719956377464, epsilon: 0.61
episode: 30/600, returns: 14.114965283182686, epsilon: 0.61
episode: 31/600, returns: 11.759806031276163, epsilon: 0.6
episode: 32/600, returns: 14.504081374368798, epsilon: 0.6
episode: 33/600, returns: 3.9029882178521573, epsilon: 0.6
episode: 34/600, returns: 19.560715086842013, epsilon: 0.59
episode: 35/600, returns: 8.36085434565923, epsilon: 0.59
episode: 36/600, returns: 30.097730412426404, epsilon: 0.59
episode: 37/600, returns: 5.9831940245576565, epsilon: 0.58
episode: 38/600, returns: 5.657955436171823, epsilon: 0.58
episode: 39/600, returns: 5.8287238515045825, epsilon: 0.58
episode: 40/600, returns: 3.8824169921342446, epsilon: 0.58
episode: 41/600, returns: 1.3286812871348617, epsilon: 0.57
episode: 42/600, returns: 15.679399042315366, epsilon: 0.57
episode: 43/600, returns: 11.195413272308087, epsilon: 0.57
episode: 44/600, returns: 7.357423170714173, epsilon: 0.56
episode: 45/600, returns: 0.21344893172945376, epsilon: 0.56
episode: 46/600, returns: -5.094076256421942, epsilon: 0.56
episode: 47/600, returns: -10.392937960740039, epsilon: 0.56
episode: 48/600, returns: 6.781402526268107, epsilon: 0.55
episode: 49/600, returns: -2.2561504136236636, epsilon: 0.55
episode: 50/600, returns: 18.139029589353456, epsilon: 0.55
episode: 51/600, returns: 2.6255503562076, epsilon: 0.54
episode: 52/600, returns: 4.901859658875014, epsilon: 0.54
episode: 53/600, returns: 4.698393135785364, epsilon: 0.54
episode: 54/600, returns: -1.9350727484015011, epsilon: 0.54
episode: 55/600, returns: -5.201554837875801, epsilon: 0.53
episode: 56/600, returns: 10.835052773828693, epsilon: 0.53
episode: 57/600, returns: 14.412950321245647, epsilon: 0.53
episode: 58/600, returns: 11.339998101267657, epsilon: 0.53
episode: 59/600, returns: 25.33147103103827, epsilon: 0.52
episode: 60/600, returns: 10.567022052593893, epsilon: 0.52
episode: 61/600, returns: 34.07407295768274, epsilon: 0.52
episode: 62/600, returns: -6.152691511786566, epsilon: 0.52
episode: 63/600, returns: 17.50553227356627, epsilon: 0.51
episode: 64/600, returns: 4.608977779151109, epsilon: 0.51
episode: 65/600, returns: -19.476876628705316, epsilon: 0.51
episode: 66/600, returns: -4.111870947129819, epsilon: 0.51
episode: 67/600, returns: 27.56254847319076, epsilon: 0.5
episode: 68/600, returns: -12.32750935804379, epsilon: 0.5
episode: 69/600, returns: 7.786516831090284, epsilon: 0.5
episode: 70/600, returns: 5.8890885023474535, epsilon: 0.5
episode: 71/600, returns: 19.868036871398886, epsilon: 0.49
episode: 72/600, returns: 2.2249510980512923, epsilon: 0.49
episode: 73/600, returns: 7.764589062401728, epsilon: 0.49
episode: 74/600, returns: -3.493310697517552, epsilon: 0.49
